id,y,stage,match,gameday,time,home,away,stadium,tv,home_score,away_score,weather,temperature,humidity,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11
14082,10626,100,10,70,19.04 ,鹿島アントラーズ,サガン鳥栖,40728,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0,0,-20,16.8,75%,東城　穣,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,山村　和也,新井場　徹,柴崎　岳,遠藤　康,小笠原　満男,ドゥトラ,大迫　勇也,興梠　慎三,サガン鳥栖,赤星　拓,丹羽　竜平,小林　久晃,キム　クナン,呂　成海,水沼　宏太,藤田　直之,岡本　知剛,金　民友,野田　隆之介,豊田　陽平
14083,21827,100,10,70,19.04 ,アルビレックス新潟,ＦＣ東京,42300,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,0,2,-10,13.4,68%,村上　伸次,アルビレックス新潟,東口　順昭,内田　潤,鈴木　大輔,石川　直樹,金　珍洙,菊地　直哉,本間　勲,三門　雄大,田中　亜土夢,ブルーノ　ロペス,ミシェウ,ＦＣ東京,権田　修一,椋原　健太,徳永　悠平,森重　真人,太田　宏介,高橋　秀人,長谷川　アーリアジャスール,羽生　直剛,梶山　陽平,谷澤　達也,ルーカス
14084,10816,100,11,60,13.04 ,コンサドーレ札幌,ＦＣ東京,39232,スカパー／ｅ２／スカパー光／北海道テレビ,0,1,-30,19.9,49%,松尾　一,コンサドーレ札幌,李　昊乗,日高　拓磨,ジェイド　ノース,櫛引　一紀,岩沼　俊介,河合　竜二,前　貴之,古田　寛幸,近藤　祐介,高木　純平,前田　俊介,ＦＣ東京,権田　修一,椋原　健太,徳永　悠平,森重　真人,太田　宏介,高橋　秀人,長谷川　アーリアジャスール,石川　直宏,梶山　陽平,谷澤　達也,ルーカス
14085,13555,100,11,60,14.03 ,ジュビロ磐田,鹿島アントラーズ,15165,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／静岡放送,3,0,-10,21.9,31%,村上　伸次,ジュビロ磐田,八田　直樹,駒野　友一,宮崎　智彦,チョ　ビョングク,藤田　義明,小林　裕紀,ペク　ソンドン,山田　大記,松浦　拓弥,山本　康裕,前田　遼一,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,山村　和也,新井場　徹,柴崎　岳,遠藤　康,小笠原　満男,ドゥトラ,大迫　勇也,興梠　慎三
14086,7833,100,11,60,14.04 ,サガン鳥栖,大宮アルディージャ,24490,スカパー／ｅ２／スカパー光,1,1,-10,26.1,29%,高山　啓義,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,小林　久晃,呂　成海,岡本　知剛,藤田　直之,水沼　宏太,金　民友,野田　隆之介,池田　圭,大宮アルディージャ,北野　貴之,片岡　洋介,深谷　友基,菊地　光将,下平　匠,カルリーニョス,青木　拓矢,渡邉　大剛,曺　永哲,東　慶悟,長谷川　悠
14087,16054,100,11,60,15.03 ,川崎フロンターレ,柏レイソル,26530,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,0,2,-20,18.8,27%,廣瀬　格,川崎フロンターレ,西部　洋平,レネ　サントス,井川　祐輔,森下　俊,登里　享平,田中　裕介,中村　憲剛,大島　僚太,田坂　祐介,楠神　順平,矢島　卓郎,柏レイソル,稲田　康志,酒井　宏樹,増嶋　竜也,近藤　直也,橋本　和,レアンドロ　ドミンゲス,茨田　陽生,大谷　秀和,ジョルジ　ワグネル,田中　順也,工藤　壮人
14088,12073,100,11,60,15.04 ,サンフレッチェ広島,横浜Ｆ・マリノス,50000,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,1,3,-10,20.5,48%,木村　博之,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,富澤　清太郎,兵藤　慎剛,中村　俊輔,齋藤　学,小野　裕二,マルキーニョス
14089,15891,100,11,60,15.34 ,清水エスパルス,セレッソ大阪,20281,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／テレビ静岡,1,1,-10,20.1,45%,飯田　淳平,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,平岡　康裕,李　記帝,村松　大輔,アレックス,河井　陽介,大前　元紀,伊藤　翔,高木　俊幸,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,酒本　憲幸,黒木　聖仁,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ケンペス,柿谷　曜一朗
14090,31818,100,11,60,16.04 ,浦和レッズ,アルビレックス新潟,63700,スカパー／ｅ２／スカパー光,1,1,-10,17.8,26%,佐藤　隆治,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,マルシオ　リシャルデス,原口　元気,アルビレックス新潟,東口　順昭,内田　潤,鈴木　大輔,石川　直樹,金　珍洙,菊地　直哉,本間　勲,藤田　征也,田中　亜土夢,ミシェウ,ブルーノ　ロペス
14091,14825,100,11,60,18.34 ,ヴィッセル神戸,名古屋グランパス,30132,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）,0,1,-10,14.4,42%,西村　雄一,ヴィッセル神戸,徳重　健太,奥井　諒,イ　グァンソン,北本　久仁衛,相馬　崇人,朴　康造,大屋　翼,伊野波　雅彦,小川　慶治朗,野沢　拓也,吉田　孝行,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,小川　佳純,ダニルソン,藤本　淳吾,永井　謙佑,ケネディ,玉田　圭司
14092,15253,100,11,60,19.04 ,ガンバ大阪,ベガルタ仙台,21000,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,1,1,-10,12.1,54%,山本　雄大,ガンバ大阪,木村　敦志,丹羽　大輝,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,寺田　紳一,倉田　秋,佐藤　晃大,パウリーニョ,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾
14093,25241,100,12,60,14.03 ,横浜Ｆ・マリノス,ガンバ大阪,72327,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）,0,0,-10,24.7,40%,飯田　淳平,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,富澤　清太郎,兵藤　慎剛,中村　俊輔,齋藤　学,小野　裕二,マルキーニョス,ガンバ大阪,木村　敦志,丹羽　大輝,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,寺田　紳一,倉田　秋,佐藤　晃大,パウリーニョ
14094,12613,100,12,60,14.04 ,サンフレッチェ広島,ヴィッセル神戸,50000,スカパー／ｅ２／スカパー光／ＮＨＫ広島／ＮＨＫ神戸,3,2,-20,22.3,53%,吉田　寿光,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人,ヴィッセル神戸,徳重　健太,イ　グァンソン,伊野波　雅彦,北本　久仁衛,朴　康造,大屋　翼,奥井　諒,相馬　崇人,吉田　孝行,野沢　拓也,小川　慶治朗
14095,21920,100,12,60,15.03 ,アルビレックス新潟,ジュビロ磐田,42300,スカパー／ｅ２／スカパー光／テレビ新潟,1,6,-10,20.6,45%,木村　博之,アルビレックス新潟,東口　順昭,内田　潤,鈴木　大輔,石川　直樹,金　珍洙,菊地　直哉,本間　勲,藤田　征也,小谷野　顕治,矢野　貴章,ブルーノ　ロペス,ジュビロ磐田,八田　直樹,駒野　友一,宮崎　智彦,チョ　ビョングク,藤田　義明,小林　裕紀,ペク　ソンドン,山田　大記,松浦　拓弥,山本　康裕,前田　遼一
14096,35877,100,12,60,15.34 ,浦和レッズ,清水エスパルス,63700,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,1,0,-10,24.4,36%,山本　雄大,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,マルシオ　リシャルデス,ポポ,清水エスパルス,林　彰洋,吉田　豊,平岡　康裕,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,アレックス,河井　陽介,高原　直泰,大前　元紀,高木　俊幸
14097,9304,100,12,60,16.03 ,大宮アルディージャ,川崎フロンターレ,15600,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／テレ玉,0,2,-10,23.6,41%,中村　太,大宮アルディージャ,北野　貴之,片岡　洋介,菊地　光将,金　英權,下平　匠,カルリーニョス,青木　拓矢,渡邉　大剛,曺　永哲,東　慶悟,ラファエル,川崎フロンターレ,西部　洋平,田中　裕介,實藤　友紀,井川　祐輔,森下　俊,稲本　潤一,大島　僚太,中村　憲剛,田坂　祐介,楠神　順平,矢島　卓郎
14098,13915,100,12,60,17.04 ,鹿島アントラーズ,コンサドーレ札幌,40728,スカパー／ｅ２／スカパー光,7,0,-10,21.6,50%,高山　啓義,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,山村　和也,新井場　徹,柴崎　岳,小笠原　満男,遠藤　康,ドゥトラ,興梠　慎三,大迫　勇也,コンサドーレ札幌,高木　貴弘,ジェイド　ノース,櫛引　一紀,奈良　竜樹,日高　拓磨,河合　竜二,前　貴之,古田　寛幸,近藤　祐介,高木　純平,前田　俊介
14099,16317,100,12,60,18.33 ,ベガルタ仙台,名古屋グランパス,19694,スカパー／ｅ２／スカパー光,4,0,-10,19.1,43%,家本　政明,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,関口　訓充,梁　勇基,ウイルソン,赤嶺　真吾,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,田口　泰士,ダニルソン,藤本　淳吾,永井　謙佑,ケネディ,玉田　圭司
14100,19643,100,12,60,19.04 ,セレッソ大阪,柏レイソル,47816,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,1,2,-20,20.4,36%,西村　雄一,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,酒本　憲幸,黒木　聖仁,扇原　貴宏,山口　螢,ブランキーニョ,清武　弘嗣,ケンペス,播戸　竜二,柏レイソル,菅野　孝憲,酒井　宏樹,増嶋　竜也,近藤　直也,那須　大亮,レアンドロ　ドミンゲス,大谷　秀和,茨田　陽生,ジョルジ　ワグネル,田中　順也,工藤　壮人
14101,25803,100,12,70,15.04 ,ＦＣ東京,サガン鳥栖,49970,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,3,2,-20,22.7,35%,松村　和彦,ＦＣ東京,権田　修一,チャン　ヒョンス,徳永　悠平,森重　真人,椋原　健太,高橋　秀人,米本　拓司,長谷川　アーリアジャスール,梶山　陽平,谷澤　達也,ルーカス,サガン鳥栖,赤星　拓,丹羽　竜平,小林　久晃,キム　クナン,呂　成海,水沼　宏太,藤田　直之,岡本　知剛,金　民友,池田　圭,豊田　陽平
14102,16657,100,13,50,19.33 ,名古屋グランパス,セレッソ大阪,40000,スカパー／ｅ２／スカパー光,0,1,-20,19.4,66%,東城　穣,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,小川　佳純,田口　泰士,藤本　淳吾,金崎　夢生,ケネディ,玉田　圭司,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,酒本　憲幸,高橋　大輔,山口　螢,キム　ボギョン,清武　弘嗣,黒木　聖仁,ケンペス,播戸　竜二
14103,8218,100,13,50,19.03 ,ガンバ大阪,サガン鳥栖,21000,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,2,3,-20,17.4,69%,岡部　拓人,ガンバ大阪,木村　敦志,内田　達也,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,二川　孝広,倉田　秋,パウリーニョ,佐藤　晃大,サガン鳥栖,赤星　拓,丹羽　竜平,小林　久晃,キム　クナン,磯崎　敬太,早坂　良太,岡本　知剛,藤田　直之,金　民友,トジン,豊田　陽平
14104,6870,100,13,60,14.04 ,コンサドーレ札幌,サンフレッチェ広島,19620,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,1,3,-10,16.3,61%,飯田　淳平,コンサドーレ札幌,高木　貴弘,日高　拓磨,ジェイド　ノース,奈良　竜樹,高木　純平,河合　竜二,前　貴之,古田　寛幸,内村　圭宏,近藤　祐介,大島　秀夫,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人
14105,16058,100,13,60,14.04 ,川崎フロンターレ,ベガルタ仙台,26530,スカパー／ｅ２／スカパー光,3,2,-10,25.9,28%,前田　拓哉,川崎フロンターレ,西部　洋平,田中　裕介,實藤　友紀,井川　祐輔,福森　晃斗,中村　憲剛,大島　僚太,楠神　順平,小林　悠,登里　享平,矢島　卓郎,ベガルタ仙台,林　卓人,菅井　直樹,角田　誠,鎌田　次郎,田村　直也,松下　年宏,富田　晋伍,太田　吉彰,梁　勇基,ウイルソン,赤嶺　真吾
14106,16556,100,13,60,14.04 ,清水エスパルス,横浜Ｆ・マリノス,20281,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ静岡,0,0,-10,23.4,57%,村上　伸次,清水エスパルス,林　彰洋,河井　陽介,平岡　康裕,カルフィン　ヨン　ア　ピン,李　記帝,姜　成浩,杉山　浩太,小林　大悟,高木　俊幸,大前　元紀,鍋田　亜人夢,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,富澤　清太郎,小椋　祥平,中村　俊輔,兵藤　慎剛,マルキーニョス,大黒　将志
14107,10752,100,13,60,16.03 ,ジュビロ磐田,大宮アルディージャ,15165,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,4,0,-20,21.4,56%,今村　義朗,ジュビロ磐田,八田　直樹,駒野　友一,宮崎　智彦,菅沼　駿哉,藤田　義明,ロドリゴ　ソウト,小林　裕紀,ペク　ソンドン,山田　大記,松浦　拓弥,前田　遼一,大宮アルディージャ,北野　貴之,渡部　大輔,深谷　友基,菊地　光将,下平　匠,青木　拓矢,上田　康太,カルリーニョス,曺　永哲,ラファエル,長谷川　悠
14108,22766,100,13,60,17.04 ,ヴィッセル神戸,鹿島アントラーズ,30132,スカパー／ｅ２／スカパー光,1,2,-20,24.4,40%,井上　知大,ヴィッセル神戸,徳重　健太,奥井　諒,イ　グァンソン,北本　久仁衛,相馬　崇人,大屋　翼,伊野波　雅彦,朴　康造,野沢　拓也,大久保　嘉人,小川　慶治朗,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,青木　剛,新井場　徹,柴崎　岳,小笠原　満男,遠藤　康,ドゥトラ,ジュニーニョ,興梠　慎三
14109,12931,100,13,60,18.34 ,柏レイソル,アルビレックス新潟,18500,スカパー／ｅ２／スカパー光,2,0,-10,20.4,39%,中村　太,柏レイソル,菅野　孝憲,酒井　宏樹,増嶋　竜也,近藤　直也,那須　大亮,レアンドロ　ドミンゲス,茨田　陽生,大谷　秀和,ジョルジ　ワグネル,田中　順也,工藤　壮人,アルビレックス新潟,東口　順昭,村上　佑介,大井　健太郎,石川　直樹,菊地　直哉,三門　雄大,本間　勲,藤田　征也,田中　亜土夢,矢野　貴章,ブルーノ　ロペス
14110,33836,100,13,60,19.04 ,ＦＣ東京,浦和レッズ,49970,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ,1,1,-20,20,56%,吉田　寿光,ＦＣ東京,権田　修一,チャン　ヒョンス,徳永　悠平,森重　真人,椋原　健太,高橋　秀人,長谷川　アーリアジャスール,ルーカス,梶山　陽平,石川　直宏,渡邉　千真,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,マルシオ　リシャルデス,ポポ
14111,13554,100,14,60,13.33 ,ベガルタ仙台,コンサドーレ札幌,19694,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ミヤギテレビ,4,1,-40,19.1,90%,福島　孝一郎,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,渡辺　広大,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,柳沢　敦,ウイルソン,コンサドーレ札幌,杉山　哲,日高　拓磨,ジェイド　ノース,岡山　一成,高木　純平,山本　真希,河合　竜二,砂川　誠,近藤　祐介,岡本　賢明,大島　秀夫
14112,15010,100,14,60,18.34 ,鹿島アントラーズ,名古屋グランパス,40728,スカパー／ｅ２／スカパー光,2,3,-40,21.3,92%,村上　伸次,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,山村　和也,新井場　徹,柴崎　岳,小笠原　満男,遠藤　康,ドゥトラ,興梠　慎三,ジュニーニョ,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,小川　佳純,ダニエル,藤本　淳吾,永井　謙佑,ケネディ,金崎　夢生
14113,9025,100,14,60,19.03 ,大宮アルディージャ,柏レイソル,15600,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／テレ玉,2,4,-20,20.7,96%,飯田　淳平,大宮アルディージャ,江角　浩司,渡邉　大剛,片岡　洋介,菊地　光将,下平　匠,青木　拓矢,カルリーニョス,金久保　順,東　慶悟,曺　永哲,ラファエル,柏レイソル,菅野　孝憲,酒井　宏樹,増嶋　竜也,近藤　直也,橋本　和,レアンドロ　ドミンゲス,栗澤　僚一,大谷　秀和,ジョルジ　ワグネル,田中　順也,工藤　壮人
14114,23273,100,14,60,19.04 ,横浜Ｆ・マリノス,ＦＣ東京,72327,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,1,0,-20,21.9,84%,家本　政明,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,富澤　清太郎,兵藤　慎剛,中村　俊輔,齋藤　学,小野　裕二,マルキーニョス,ＦＣ東京,権田　修一,椋原　健太,徳永　悠平,森重　真人,太田　宏介,高橋　秀人,長谷川　アーリアジャスール,谷澤　達也,梶山　陽平,ルーカス,渡邉　千真
14115,23797,100,14,60,19.03 ,アルビレックス新潟,清水エスパルス,42300,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,1,0,-20,22.7,64%,東城　穣,アルビレックス新潟,東口　順昭,村上　佑介,鈴木　大輔,石川　直樹,金　珍洙,三門　雄大,本間　勲,藤田　征也,田中　亜土夢,ブルーノ　ロペス,ミシェウ,清水エスパルス,林　彰洋,吉田　豊,平岡　康裕,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,杉山　浩太,河井　陽介,高木　俊幸,大前　元紀,アレックス
14116,10612,100,14,60,19.05 ,ジュビロ磐田,ヴィッセル神戸,15165,スカパー／ｅ２／スカパー光,1,3,-40,21.9,94%,岡部　拓人,ジュビロ磐田,八田　直樹,駒野　友一,宮崎　智彦,チョ　ビョングク,藤田　義明,ロドリゴ　ソウト,小林　裕紀,ペク　ソンドン,山崎　亮平,山田　大記,前田　遼一,ヴィッセル神戸,徳重　健太,奥井　諒,北本　久仁衛,伊野波　雅彦,相馬　崇人,田中　英雄,大屋　翼,野沢　拓也,大久保　嘉人,小川　慶治朗,森岡　亮太
14117,14977,100,14,60,19.03 ,ガンバ大阪,浦和レッズ,21000,スカパー／ｅ２／スカパー光,1,2,-40,24.3,93%,高山　啓義,ガンバ大阪,木村　敦志,内田　達也,中澤　聡太,金　正也,藤春　廣輝,二川　孝広,明神　智和,寺田　紳一,倉田　秋,パウリーニョ,佐藤　晃大,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,小島　秀仁,阿部　勇樹,梅崎　司,柏木　陽介,マルシオ　リシャルデス,原口　元気
14118,11538,100,14,60,19.04 ,セレッソ大阪,サンフレッチェ広島,19628,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,1,4,-40,24.2,94%,中村　太,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,酒本　憲幸,黒木　聖仁,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ケンペス,柿谷　曜一朗,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,清水　航平,石原　直樹,髙萩　洋次郎,佐藤　寿人
14119,9603,100,14,60,19.04 ,サガン鳥栖,川崎フロンターレ,24490,スカパー／ｅ２／スカパー光,0,1,-40,21.3,87%,今村　義朗,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,藤田　直之,岡本　知剛,水沼　宏太,金　民友,池田　圭,豊田　陽平,川崎フロンターレ,西部　洋平,田中　裕介,實藤　友紀,井川　祐輔,伊藤　宏樹,稲本　潤一,中村　憲剛,楠神　順平,田坂　祐介,レナト,矢島　卓郎
14120,14759,100,15,60,14.03 ,コンサドーレ札幌,ガンバ大阪,39232,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌,0,4,-30,22.3,59%,前田　拓哉,コンサドーレ札幌,杉山　哲,日高　拓磨,ジェイド　ノース,岡山　一成,前　貴之,河合　竜二,山本　真希,砂川　誠,近藤　祐介,岡本　賢明,大島　秀夫,ガンバ大阪,木村　敦志,内田　達也,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,二川　孝広,倉田　秋,パウリーニョ,佐藤　晃大
14121,22685,100,15,60,18.04 ,ＦＣ東京,セレッソ大阪,49970,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＴＯＫＹＯ　ＭＸ,2,0,-10,22.8,72%,高山　啓義,ＦＣ東京,権田　修一,徳永　悠平,加賀　健一,森重　真人,椋原　健太,高橋　秀人,長谷川　アーリアジャスール,谷澤　達也,梶山　陽平,田邉　草民,ルーカス,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,酒本　憲幸,高橋　大輔,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ケンペス,柿谷　曜一朗
14122,17696,100,15,60,18.04 ,清水エスパルス,サガン鳥栖,20281,スカパー／ｅ２／スカパー光,1,1,-20,22.6,80%,井上　知大,清水エスパルス,林　彰洋,吉田　豊,平岡　康裕,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,杉山　浩太,河井　陽介,大前　元紀,高原　直泰,高木　俊幸,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,早坂　良太,岡本　知剛,藤田　直之,金　民友,池田　圭,豊田　陽平
14123,13987,100,15,60,18.35 ,柏レイソル,鹿島アントラーズ,18500,スカパー／ｅ２／スカパー光,1,1,-10,21.1,77%,アントニオ　アリアス,柏レイソル,菅野　孝憲,酒井　宏樹,近藤　直也,クォン　ハンジン,那須　大亮,レアンドロ　ドミンゲス,栗澤　僚一,大谷　秀和,ジョルジ　ワグネル,田中　順也,工藤　壮人,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,山村　和也,青木　剛,柴崎　岳,小笠原　満男,遠藤　康,ドゥトラ,興梠　慎三,大迫　勇也
14124,15304,100,15,60,18.35 ,サンフレッチェ広島,大宮アルディージャ,50000,スカパー／ｅ２／スカパー光,0,0,-20,21.7,85%,廣瀬　格,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,清水　航平,石原　直樹,髙萩　洋次郎,佐藤　寿人,大宮アルディージャ,江角　浩司,村上　和弘,菊地　光将,金　英權,下平　匠,青木　拓矢,カルリーニョス,金澤　慎,東　慶悟,渡部　大輔,長谷川　悠
14125,39545,100,15,60,19.04 ,浦和レッズ,ベガルタ仙台,63700,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／テレ玉,0,0,-10,22.3,71%,西村　雄一,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,宇賀神　友弥,小島　秀仁,阿部　勇樹,梅崎　司,柏木　陽介,マルシオ　リシャルデス,原口　元気,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,渡辺　広大,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,中原　貴之,柳沢　敦
14126,20590,100,15,60,19.04 ,川崎フロンターレ,横浜Ｆ・マリノス,26530,スカパー／ｅ２／スカパー光,0,0,-20,22.9,70%,扇谷　健司,川崎フロンターレ,西部　洋平,田中　裕介,實藤　友紀,井川　祐輔,福森　晃斗,稲本　潤一,中村　憲剛,楠神　順平,田坂　祐介,レナト,矢島　卓郎,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,谷口　博之,兵藤　慎剛,中村　俊輔,齋藤　学,小野　裕二,マルキーニョス
14127,16862,100,15,60,19.03 ,名古屋グランパス,ジュビロ磐田,20000,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／東海テレビ（録）,2,0,-20,24.4,49%,吉田　寿光,名古屋グランパス,楢﨑　正剛,田中　隼磨,ダニエル,田中　マルクス闘莉王,阿部　翔平,小川　佳純,田口　泰士,藤本　淳吾,永井　謙佑,ケネディ,金崎　夢生,ジュビロ磐田,八田　直樹,駒野　友一,宮崎　智彦,チョ　ビョングク,藤田　義明,小林　裕紀,山崎　亮平,菅沼　実,山本　脩斗,山本　康裕,前田　遼一
14128,16727,100,15,60,19.04 ,ヴィッセル神戸,アルビレックス新潟,30132,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）,1,0,-20,24.3,60%,家本　政明,ヴィッセル神戸,徳重　健太,奥井　諒,北本　久仁衛,伊野波　雅彦,相馬　崇人,田中　英雄,大屋　翼,野沢　拓也,小川　慶治朗,吉田　孝行,大久保　嘉人,アルビレックス新潟,東口　順昭,村上　佑介,鈴木　大輔,石川　直樹,菊地　直哉,三門　雄大,本間　勲,藤田　征也,田中　亜土夢,ブルーノ　ロペス,ミシェウ
14129,26133,100,16,60,18.03 ,横浜Ｆ・マリノス,名古屋グランパス,72327,スカパー／ｅ２／スカパー光,1,1,-10,24.7,63%,松村　和彦,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,富澤　清太郎,中町　公祐,兵藤　慎剛,齋藤　学,小野　裕二,マルキーニョス,名古屋グランパス,高木　義成,田中　隼磨,ダニエル,田中　マルクス闘莉王,阿部　翔平,小川　佳純,田口　泰士,藤本　淳吾,永井　謙佑,ケネディ,金崎　夢生
